"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"955593175594389505","","","2018-01-23 00:09:01 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Endurance and Mindset: Key Qualities of Successful Athletes https://t.co/NLhcpZ0TvH","","","","https://buff.ly/2DGZmkD"
"955591753062481920","","","2018-01-23 00:03:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @worldsailing: World Cup Series USA 2018 is officially open 🌴☀️

That sunset 👌

#wcsmiami ⛵️🌍🏆🇺🇸 https://t.co/zoKwaRhlCF","955585365913554944","39973326","2018-01-22 23:37:59 +0000","https://twitter.com/worldsailing/status/955585365913554944/video/1,https://twitter.com/worldsailing/status/955585365913554944/video/1"
"955469655694561280","","","2018-01-22 15:58:12 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @SingaporeSail: ""3 keys to success - trust each other. Have fun. Train a lot."" 
Sailing - How to Become Champions. https://t.co/kQZL1poS…","950157363994136576","906430548641439744","2018-01-08 00:09:03 +0000","https://buff.ly/2CB8mGi"
"955248580444352512","955232539005693952","3605447353","2018-01-22 01:19:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@3i6qTAUQLWkZ7gT Yes!! We love it! https://t.co/DgD98Z69h5","","","","https://twitter.com/SingaporeSail/status/955248580444352512/photo/1"
"955230798394904577","","","2018-01-22 00:09:04 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Retractable solar sails to help power “world’s most eco-friendly cruise ship” - Energy News https://t.co/p6iBpssAoW https://t.co/rzL84D8Vd8","","","","https://buff.ly/2DSwdmm,https://twitter.com/SingaporeSail/status/955230798394904577/photo/1"
"955107235809591297","","","2018-01-21 15:58:04 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","US destroyer angers Beijing by sailing past disputed reef https://t.co/JZUzuwh7bb via @MailOnline","","","","https://buff.ly/2FZC4Hj"
"954925885026529281","","","2018-01-21 03:57:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Vestas11thHour: Our team is deeply saddened to report that, last night, the blue boat collided with a fishing boat. Unfortunately, a fa…","954649426932350976","2724093042","2018-01-20 09:38:54 +0000","http://bit.ly/2rq70gr,https://twitter.com/Vestas11thHour/status/954649426932350976/photo/1"
"954922193758007296","","","2018-01-21 03:42:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Our thoughts and prayers are with his family, and with the crew of both boats. ☹️ https://t.co/mKkAQHK7Ix","","","","https://twitter.com/volvooceanrace/status/954600528381530112"
"954921891147350017","954919602672214017","3605447353","2018-01-21 03:41:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@3i6qTAUQLWkZ7gT @debbiediscovers Yes indeed. :(","","","",""
"954921821035524096","","","2018-01-21 03:41:18 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Why Hong Kong’s waters are so dangerous for sailing https://t.co/Ot6hhfbgqV","","","","https://buff.ly/2G1PN0n"
